driver_id,co2_kg,co2_per_km,total_km,fuel_per_100km,idle_time_pct,idle_fuel_pct,hard_accels_per_100km,speeding_per_100km,region,has_eco_training,co2_gap_per_km,reducible_co2_kg
D115,8386.89,0.5066576923076923,16747.2,21.932307692307692,124.83461538461538,36.646153846153844,1.0638461538461539,2.01,northeast,True,0.1519711538461539,2545.0913076923084
D002,7823.36,0.4982692307692308,15742.300000000001,21.57038461538462,123.44615384615385,36.55384615384615,1.188076923076923,1.8646153846153846,northeast,True,0.14358269230769238,2260.321817115386
D039,7489.46,0.49691538461538465,15459.0,21.511153846153846,126.41153846153846,36.707692307692305,1.2661538461538462,1.8619230769230768,northeast,True,0.14222884615384623,2198.715732692309
D072,8158.99,0.48260769230769235,16886.9,20.892307692307693,122.93846153846154,35.37692307692308,1.0884615384615386,1.889230769230769,northeast,True,0.12792115384615393,2160.191732884617
D106,7715.47,0.4885923076923077,15770.6,21.150769230769228,119.43846153846154,35.45,1.5976923076923077,2.0080769230769233,northeast,False,0.1339057692307693,2111.77432423077
D122,7104.13,0.49074999999999996,14592.5,21.24423076923077,119.4923076923077,35.91153846153846,1.3473076923076923,1.2423076923076921,northeast,False,0.13606346153846155,1985.5060625
D065,8046.55,0.46160384615384614,18512.4,19.983076923076926,126.17307692307692,32.71153846153846,1.4884615384615385,1.8042307692307693,southeast,False,0.10691730769230773,1979.2959669230777
D083,6950.9400000000005,0.47833846153846155,14683.8,20.706923076923076,121.6423076923077,34.892307692307696,1.4576923076923076,1.3457692307692308,northeast,False,0.12365192307692313,1815.6801080769237
D059,7191.42,0.47173846153846155,15241.2,20.42115384615385,112.96153846153847,33.353846153846156,1.6019230769230768,2.055,northeast,False,0.11705192307692314,1784.011770000001
D031,7567.97,0.45796923076923074,16562.3,19.825384615384618,61.30384615384616,19.403846153846153,3.426153846153846,2.1065384615384617,northeast,False,0.10328269230769233,1710.5989348076926
D043,8169.38,0.44598076923076924,18392.8,19.306153846153844,115.14615384615385,31.623076923076926,1.1726923076923077,1.3753846153846152,southeast,True,0.09129423076923082,1679.1565276923086
D098,7048.68,0.46592307692307694,14931.6,20.16923076923077,112.26153846153846,34.05769230769231,1.5749999999999997,1.5192307692307692,northeast,False,0.11123653846153853,1660.9394976923086
D021,7276.2,0.4589653846153846,15872.6,19.86923076923077,64.3423076923077,20.430769230769233,3.8853846153846154,2.0761538461538462,northeast,False,0.1042788461538462,1655.1764134615391
D009,8871.78,0.434324,20582.9,18.802,110.90799999999999,31.308000000000003,1.5652000000000001,1.3419999999999999,southeast,False,0.07963746153846157,1639.1699071000007
D057,7459.87,0.4528923076923077,16627.3,19.60653846153846,59.90384615384615,18.773076923076925,2.8234615384615385,2.246153846153846,northeast,True,0.09820576923076929,1632.8967867307701
D062,7344.82,0.44866538461538463,16310.8,19.422307692307694,61.53846153846154,19.51153846153846,3.5134615384615384,1.9923076923076926,northeast,False,0.09397884615384622,1532.8701638461548
D082,6831.68,0.4533307692307692,15197.8,19.625384615384615,61.815384615384616,19.253846153846155,2.9180769230769235,2.153076923076923,northeast,True,0.09864423076923079,1499.1752903846157
D030,6451.06,0.4597230769230769,14171.3,19.901538461538465,62.93846153846154,20.384615384615383,2.7849999999999997,2.8603846153846155,northeast,True,0.10503653846153849,1488.5042975000003
D015,6531.34,0.452088,14574.8,19.5716,61.583999999999996,19.256,3.6752,2.9468,northeast,False,0.09740146153846158,1419.6068216307697
D045,7185.55,0.44105769230769226,16239.300000000001,19.09346153846154,60.94230769230769,19.03846153846154,2.741923076923077,2.1523076923076925,northeast,True,0.08637115384615385,1402.6070786538462
D070,8110.18,0.4282076923076923,18979.2,18.537307692307692,105.20384615384616,29.965384615384615,1.3269230769230769,1.3299999999999998,southeast,False,0.07352115384615387,1395.3726830769237
D085,9043.08,0.4174423076923077,21572.6,18.07076923076923,104.26538461538462,29.553846153846152,1.348076923076923,1.8288461538461538,southeast,False,0.06275576923076931,1353.805107307694
D150,8334.49,0.422273076923077,19954.2,18.281153846153845,104.3076923076923,30.157692307692308,1.0623076923076924,1.3661538461538463,southeast,True,0.06758653846153856,1348.6353057692327
D148,6797.78,0.4419461538461539,15284.1,19.13076923076923,57.04615384615385,18.076923076923077,2.8753846153846156,3.0100000000000002,northeast,True,0.08725961538461546,1333.6846875000012
D038,6151.65,0.4476538461538461,13852.1,19.37846153846154,58.926923076923075,18.665384615384617,3.4161538461538465,2.2423076923076923,northeast,False,0.09296730769230771,1287.7924428846156
D149,8436.41,0.41726153846153846,20409.3,18.06230769230769,57.82692307692308,16.68846153846154,3.5,2.968461538461539,southeast,False,0.06257500000000005,1277.111947500001
D111,5341.46,0.46634375,11369.4,20.189375000000002,63.53125,19.9,4.398125,3.715625,northeast,False,0.11165721153846159,1269.4755008653851
D023,6079.47,0.44303076923076923,13743.6,19.179615384615385,55.95,17.857692307692307,3.5773076923076923,2.9334615384615383,northeast,False,0.08834423076923081,1214.1677700000007
D054,6631.99,0.43043076923076923,15485.0,18.63423076923077,53.25769230769231,17.107692307692307,3.490769230769231,2.115,northeast,False,0.07574423076923081,1172.899413461539
D063,4067.41,0.4900214285714286,8379.4,21.212142857142858,114.64285714285714,33.542857142857144,1.547857142857143,2.1792857142857143,northeast,True,0.1353348901098902,1134.025178186814
