driver_id,week,anomaly_score,is_anomaly
D001,1,-0.4812452621259901,False
D001,2,-0.4602031650645189,False
D001,3,-0.5389437494088158,True
D001,4,-0.5150452109431556,False
D001,5,-0.5175677697185154,False
D001,6,-0.4813686744495588,False
D001,7,-0.5118275974444905,False
D001,8,-0.518924241748991,False
D001,9,-0.5375739588715052,True
D001,10,-0.5022315023598537,False
D001,11,-0.4696029197872773,False
D001,12,-0.4761135401690525,False
D001,13,-0.5162095205174164,False
D001,14,-0.4940810137531607,False
D001,15,-0.496692951346735,False
D001,16,-0.4917474247276977,False
D001,17,-0.48179312057012436,False
D001,18,-0.47357442143993006,False
D001,19,-0.5040386468385687,False
D001,20,-0.4683765746479344,False
D001,21,-0.49452097826917085,False
D001,22,-0.4890365943713417,False
D001,23,-0.48487539980495764,False
D001,24,-0.49351679313838176,False
D001,25,-0.45393237404364584,False
D001,26,-0.4953183471221689,False
D002,1,-0.42513381669558303,False
D002,2,-0.45108555260535504,False
D002,3,-0.5225534121784287,False
D002,4,-0.42156225804443015,False
D002,5,-0.5002555980493852,False
D002,6,-0.48309445500539644,False
D002,7,-0.44899469496211375,False
D002,8,-0.44683671366507666,False
D002,9,-0.4561528425073542,False
D002,10,-0.49433254255938885,False
D002,11,-0.4395508773152341,False
D002,12,-0.4612039781323877,False
D002,13,-0.42815945608378186,False
D002,14,-0.49283103036496695,False
D002,15,-0.45361173924360376,False
D002,16,-0.4434938017474325,False
D002,17,-0.46127712939932847,False
D002,18,-0.43258238646453084,False
D002,19,-0.45427147503625426,False
D002,20,-0.46623185036577663,False
D002,21,-0.45027963958644607,False
D002,22,-0.4925438048853973,False
D002,23,-0.43931020146722066,False
D002,24,-0.4809749391027853,False
D002,25,-0.4773067596299585,False
D002,26,-0.44146916783611106,False
D003,1,-0.46822779583895024,False
D003,2,-0.4882489360922964,False
D003,3,-0.5205248982550783,False
D003,4,-0.4664589184465665,False
D003,5,-0.5115921922997898,False
D003,6,-0.49234212358279367,False
D003,7,-0.4962946815162084,False
D003,8,-0.4684266795627759,False
D003,9,-0.48385292196609586,False
D003,10,-0.46352602720458125,False
D003,11,-0.5036324400192241,False
D003,12,-0.4639554303188105,False
D003,13,-0.4366151848823377,False
D003,14,-0.4844985058640393,False
D003,15,-0.4690475253581982,False
D003,16,-0.5023510583018769,False
D003,17,-0.46855988699178097,False
D003,18,-0.4634509758500742,False
D003,19,-0.46809587840335976,False
D003,20,-0.47232332005305566,False
D003,21,-0.4941246376258793,False
D003,22,-0.527400686554059,False
D003,23,-0.4637836921753348,False
D003,24,-0.5144432756186401,False
D003,25,-0.4922983319950853,False
D003,26,-0.4801712553276514,False
D004,1,-0.5273803361014867,False
D004,2,-0.5107682229528074,False
D004,3,-0.47292073908752785,False
D004,4,-0.48686274390821704,False
D004,5,-0.47151064618231003,False
D004,6,-0.5255149148747008,False
D004,7,-0.4857403970410838,False
D004,8,-0.4689303886322272,False
D004,9,-0.5222909552150035,False
D004,10,-0.5609545802765976,True
D004,11,-0.4644548677779042,False
D004,12,-0.4883512518424103,False
